,Song,Artist,Genre,Composed,Release_year,Different albums,Covers,Rating
4610,Pittsburgh 1901,Mark Isham,New Age,Mark Isham,1985,2,0,3.25
4611,Lazy Afternoon,Mark Isham,Jazz,John Latouche,1995,3,42,3.0
4612,Picture of Cats,Mark Isham,Children's,Mark Isham,1993,1,0,4.5
4613,Charcoal and Cats,Mark Isham,Children's,Mark Isham,1993,1,0,4.5
4614,Boy Who Drew Cats,We All Have Tales,Children's,Mark Isham,1993,1,0,4.5
4615,Rivers of Sand,Fennesz,Avant-Garde,Christian Fennesz,2004,2,0,4.0
4616,Kokoro,Fennesz ,Electronic,Fennesz,2007,1,0,3.5
4617,Haru,Fennesz ,Electronic,Fennesz,2007,1,0,3.5
4618,Aware,Fennesz ,Electronic,Fennesz,2007,1,0,3.5
4619,Amorph,Fennesz ,Electronic,Fennesz,2007,1,0,3.5
4620,Point of it All,Fennesz,Avant-Garde,Christian Fennesz,2004,1,0,4.0
4621,Chateau Rouge,Fennesz,Avant-Garde,Christian Fennesz,2004,1,0,4.0
4622,Trick Bag,Earl King,Pop/Rock,Earl King,1976,12,18,3.928571428571429
4623,Everybody's Carried Away,Earl King,R&B,Earl King,1979,7,2,3.4
4624,Street Parade,Earl King,R&B,Earl King,1981,4,2,2.75
4625,I'll Take You Back Home,Earl King,R&B,Earl King,1983,4,0,3.625
4626,"Come On, Pts. 1 & 2",Earl King,R&B,Earl King,1993,4,1,4.166666666666667
4627,It Must Have Been Love,Earl King,R&B,Earl King,1983,3,0,3.333333333333333
4628,Big Chief,Earl King ,Blues,Earl Johnson,2000,0,1,2.5
4629,You Can Fly High,Earl King,R&B,Earl King,1983,6,0,3.8333333333333335
4630,Weary Silent Night,Earl King,R&B,Earl King,1983,4,1,4.0
4631,Don't You Know You're Wrong,Earl King,R&B,Earl King,1998,2,0,4.0
4632,Blue on Blue,Bobby Vinton,Pop/Rock,Burt Bacharach,1963,28,13,3.138888888888889
4633,Roses Are Red (My Love),Bobby Vinton,Pop/Rock,Al Byron,1963,27,13,2.8529411764705883
4634,Mr. Lonely,Bobby Vinton,Pop/Rock,Gene Allan,1962,20,12,2.6666666666666665
4635,Sealed With a Kiss,Bobby Vinton,Laid-Back/Mellow,Gary Geld,1972,15,55,2.8
4636,I Love How You Love Me,Bobby Vinton,Laid-Back/Mellow,Larry Kolber,1968,13,41,2.888888888888889
4637,Take Good Care of My Baby,Bobby Vinton,Sentimental,Gerry Goffin,1968,11,29,2.75
4638,Please Love Me Forever,Bobby Vinton,Pop/Rock,Ollie Blanchard,1967,10,8,2.9444444444444446
4639,There! I've Said It Again,Bobby Vinton,Pop/Rock,Redd Evans,1963,10,46,3.0
4640,Tell Me Why,Bobby Vinton,Pop/Rock,Al Alberts,1963,9,16,2.9285714285714284
4641,Satin Pillows,Bobby Vinton,Sentimental,Sonny James,1965,7,1,2.5
4642,My Heart Belongs to Only You,Bobby Vinton,Pop/Rock,Dorothy Daniels,1963,11,9,3.071428571428572
4643,"Rain, Rain Go Away",Bobby Vinton,Happy,Noël Regney,1962,9,0,3.0
4644,My Melody of Love,Bobby Vinton,Sensual,Henry Mayer,1974,9,10,2.6666666666666665
4645,"Loreta and Desirée's Bouquet, Pt. 1",George Winston,New Age,George Winston,1991,6,2,2.875
4646,Sea,George Winston,New Age,George Winston,1980,5,0,3.375
4647,Blossom/Meadow,George Winston,New Age,George Winston,1982,5,0,2.875
4648,Skating,George Winston,New Age,Vince Guaraldi,1996,4,27,3.5
4649,Miles City Train,George Winston,New Age,George Winston,1972,5,0,3.0
4650,"You're in Love, Charlie Brown",George Winston,New Age,Vince Guaraldi,1996,3,4,4.0
4651,Hummingbird,George Winston,New Age,George Winston,1991,7,0,3.5
4652,Colors/Dance,George Winston,New Age,George Winston,1980,8,1,3.8
4653,Woods,George Winston,New Age,George Winston,1980,4,1,3.6666666666666665
4654,Linus and Lucy,George Winston,New Age,Vince Guaraldi,1996,4,62,4.0
4655,Cloudburst,George Winston,New Age,George Winston,1999,3,0,3.5
4656,Brenda's Blues,George Winston,New Age,John Fahey,1972,3,1,2.75
4657,Dubuque,George Winston,New Age,Traditional,1999,3,4,3.0
4658,"Deland, Florida Medley: Highway Hymn Blues",George Winston,New Age,George Winston,1972,2,0,1.5
4659,Goodnight Irene,George Winston,New Age,Huddie Ledbetter,2004,2,38,3.5
4660,Thumbelina,George Winston,New Age,Mark Isham,2004,2,2,3.5
4661,Longing/Love,George Winston,New Age,George Winston,1980,6,1,3.75
4662,Thanksgiving,George Winston,New Age,George Winston,1982,6,3,3.75
4663,Where Are You Now,George Winston,New Age,George Winston,1991,6,0,2.875
4664,Remembrance,George Winston,New Age,Vince Guaraldi,1998,2,0,2.5
4665,Cast Your Fate to the Wind,George Winston,New Age,Vince Guaraldi,1996,5,57,4.0
4666,No Regrets,Tom Rush,Folk,Tom Rush,1968,12,27,3.4375
4667,Circle Game,Tom Rush,Folk,Joni Mitchell,1968,8,35,3.75
4668,Urge For Going,Tom Rush,Yearning,Joni Mitchell,1968,4,28,4.0
4669,Drop Down Mama,Tom Rush,Folk,Sleepy John Estes,1963,4,31,3.0
4670,River Song,Tom Rush,Folk,Tom Rush,1999,3,0,3.5
4671,Child's Song,Tom Rush,Yearning,Murray McLauchlan,1970,3,4,3.25
4672,No Regrets/Rockport Sunday,Tom Rush,Folk,Tom Rush,1970,1,0,4.0
4673,Baby Please Don't Go,Tom Rush,Folk,Traditional,1996,2,12,3.25
4674,Something in the Way She Moves,Tom Rush,Happy,James Taylor,1968,2,21,4.0
4675,San Francisco Bay Blues,Tom Rush,Folk,Jesse Fuller,1963,2,54,4.0
4676,Ride,David Allan Coe,Country,"J.B. Detterline, Jr.",1974,20,1,2.925
4677,Mona Lisa Lost Her Smile,David Allan Coe,Country,Johnny Cunningham,1984,23,1,2.861111111111111
4678,"Willie, Waylon and Me",David Allan Coe,Country,David Allan Coe,1977,21,1,3.066666666666667
4679,You Never Even Called Me by My Name,David Allan Coe,Pop/Rock,Steve Goodman,1981,23,2,3.117647058823529
4680,Long Haired Redneck,David Allan Coe,Country,David Allan Coe,1976,15,0,3.1923076923076925
4681,Tennessee Whiskey,David Allan Coe,Country,Dean Dillon,1981,17,10,3.071428571428572
4682,Would You Lay with Me (In a Field of Stone),David Allan Coe,Pop/Rock,David Allan Coe,1978,18,10,3.264705882352941
4683,Take This Job and Shove It,David Allan Coe,Country,David Allan Coe,1978,14,21,3.0
4684,Now I Lay Me Down to Cheat,David Allan Coe,Country,Walt Aldridge,1982,9,0,3.1875
4685,Jack Daniels If You Please,David Allan Coe,Country,David Allan Coe,1978,8,2,3.5
4686,Just to Prove My Love for You,David Allan Coe,Country,David Allan Coe,1977,7,0,3.9
4687,Divers Do It Deeper,David Allan Coe,Country,David Allan Coe,1978,6,0,3.5
4688,If That Ain't Country,David Allan Coe,Country,David Allan Coe,1977,11,2,3.136363636363636
4689,Stand by Your Man,David Allan Coe,Country,Billy Sherrill,1981,6,90,3.4
4690,Would You Be My Lady,David Allan Coe,Country,David Allan Coe,1974,9,0,3.583333333333333
4691,She Used to Love Me a Lot,David Allan Coe,Country,Kye Fleming,1985,3,4,3.25
4692,If This Is Just a Game,David Allan Coe,Country,David Allan Coe,1978,7,1,3.25
4693,Jody Like a Melody,David Allan Coe,Country,David Allan Coe,1974,7,0,3.4285714285714284
4694,Face to Face,David Allan Coe,Country,David Allan Coe,1977,7,1,3.5
4695,Tanya Montana,David Allan Coe,Country,David Allan Coe,1987,0,0,3.5
4696,Lately I've Been Thinking Too Much Lately,David Allan Coe,Country,David Allan Coe,1977,5,1,3.0
4697,Please Come to Boston,David Allan Coe,Country,Dave Loggins,1985,6,30,3.25
4698,Sleigh Ride,Leroy Anderson,Easy Listening,Leroy Anderson,1967,22,467,3.7857142857142856
4699,Blue Tango,Leroy Anderson,Easy Listening,Leroy Anderson,1967,16,63,3.5
4700,Typewriter,Leroy Anderson,Easy Listening,Leroy Anderson,1967,11,9,4.166666666666667
4701,Syncopated Clock,Leroy Anderson,Easy Listening,Leroy Anderson,1967,7,18,3.75
4702,Jazz Pizzicato,Leroy Anderson,Easy Listening,Leroy Anderson,1967,6,4,3.5
4703,"Syncopated Clock, for orchestra",Leroy Anderson,Classical,Leroy Anderson,1967,4,7,3.625
4704,"Blue Tango, for orchestra",Leroy Anderson,Classical,Leroy Anderson,1967,4,3,3.625
4705,"Typewriter, for orchestra (with typewriters)",Leroy Anderson,Classical,Leroy Anderson,1967,3,8,3.6666666666666665
4706,"Sleigh Ride, for orchestra (or string orchestra)",Leroy Anderson,Classical,Leroy Anderson,1967,3,20,4.0
4707,"Belle of the Ball, for orchestra",Leroy Anderson,Classical,Leroy Anderson,1967,3,5,3.333333333333333
4708,Bugler's Holiday,Leroy Anderson,Easy Listening,Leroy Anderson,1967,5,10,4.166666666666667
4709,Entre Dos Aguas,Paco de Lucía,International,Paco de Lucía,1993,14,6,2.833333333333333
4710,Palenque,Paco de Lucía,International,Paco de Lucía,1981,6,4,2.75
4711,Cepa Andaluza,Paco de Lucía,International,Paco de Lucía,1991,10,0,2.5
4712,Solo Quiero Caminar,Paco de Lucía,International,Pepe de Lucía,1981,5,4,3.5
4713,Monasterio de Sal,Paco de Lucía,Happy,Francisco Sánchez Gómez,1981,8,0,3.25
4714,Gloria Al Niño Ricardo,Paco de Lucía,International,Paco de Lucía,1981,8,0,4.0
4715,Tio Sabas,Paco de Lucía,International,Paco de Lucía,1990,2,0,2.5
4716,La Barrosa,Paco de Lucía,International,Francisco Sánchez Gómez,1993,2,0,2.7683596924826177
4717,Almoraima,Paco de Lucía,International,Francisco Sánchez Gómez,1991,6,0,3.0
4718,Gitanos Andaluces,Paco de Lucía,International,Paco de Lucía,1984,5,2,2.875
4719,Skip to My Lou,John McCutcheon,Children's,Traditional,1990,5,83,3.25
4720,African Woman,Baaba Maal,International,Baaba Maal,1994,4,0,3.0
4721,Jamma Jenngii,Baaba Maal & Mansour Seck,New Age,Baaba Maal,2001,5,0,3.25
4722,Lam Tooro,Baaba Maal ,International,Baaba Maal,1989,3,0,3.5
4723,Wango Arti,Baaba Maal,International,Baaba Maal,1994,3,0,3.6666666666666665
4724,Kettodee,Baaba Maal ,Rousing,Baaba Maal,1989,2,0,4.0
4725,Salminanam,Baaba Maal ,International,Baaba Maal,1989,1,0,4.5
4726,Salimoun (Funky Kora),Baaba Maal,International,Ron Aslan,1994,1,0,2.5
4727,Souka Nayo,Baaba Maal,Laid-Back/Mellow,Simon Emmerson,2000,1,0,3.0
4728,Mbolo,Baaba Maal,International,Ron Aslan,1998,4,0,2.833333333333333
4729,Electric Avenue,Eddy Grant,Reggae,Eddy Grant,1982,65,19,2.6511627906976742
4730,I Don't Wanna Dance,Eddy Grant,Reggae,Eddy Grant,1982,20,4,2.923076923076923
4731,Walking on Sunshine,Eddy Grant,Reggae,Eddy Grant,1979,10,10,3.0
4732,Living on the Front Line,Eddy Grant,Reggae,Eddy Grant,1979,15,1,2.727272727272727
4733,Do You Feel My Love,Eddy Grant,Reggae,Eddy Grant,1979,12,2,2.6666666666666665
4734,Romancing the Stone,Eddy Grant,Reggae,Eddy Grant,1982,7,1,2.9166666666666665
4735,War Party,Eddy Grant,Reggae,Eddy Grant,1982,8,2,3.083333333333333
4736,Can't Get Enough of You,Eddy Grant,Reggae,Eddy Grant,1981,6,0,3.2
4737,Till I Can't Take Love No More,Eddy Grant,Reggae,Eddy Grant,1984,4,1,2.6666666666666665
4738,Welcome to la Tigre,Eddy Grant,Reggae,Eddy Grant,1990,3,0,3.25
4739,Boys in the Street,Eddy Grant,Reggae,Eddy Grant,1984,3,0,2.6666666666666665
4740,Hello Africa,Eddy Grant,International,Eddy Grant,1977,4,1,2.625
4741,Baby Come Back,Eddy Grant,Reggae,Eddy Grant,1982,5,30,3.25
4742,Reparation,Eddy Grant,Reggae,Eddy Grant,2006,1,0,3.5
4743,Love Weself,Eddy Grant,Reggae,Eddy Grant,2006,1,0,3.5
4744,Long Night,Eddy Grant,Reggae,Eddy Grant,2006,1,0,3.5
4745,Jesus Got a Face,Eddy Grant,R&B,Eddy Grant,2006,1,0,3.5
4746,All Around My Hat,Steeleye Span,Folk,Traditional,1977,11,9,3.142857142857143
4747,Rave On,Steeleye Span,Folk,Norman Petty,1971,13,62,3.1
4748,Cam Ye O'er Frae France,Steeleye Span,Pop/Rock,Traditional,1977,4,8,3.5
4749,Blackleg Miner,Steeleye Span,Folk,Traditional,1970,7,11,3.083333333333333
4750,Blacksmith,Steeleye Span,Folk,Traditional,1970,8,43,3.4285714285714284
4751,Thomas the Rhymer,Steeleye Span,Reflective,Traditional,1977,5,1,3.2
4752,Dark-Eyed Sailor,Steeleye Span,Sentimental,Traditional,1970,7,14,3.357142857142857
4753,Lowlands of Holland,Steeleye Span,International,Traditional,1970,7,34,3.3
4754,Lark in the Morning,Steeleye Span,Passionate,Traditional,1971,6,29,3.25
4755,Wee Weaver,Steeleye Span,Folk,Traditional,1971,7,1,3.083333333333333
4756,Fisherman's Wife,Steeleye Span,Folk,Ewan MacColl,1970,5,1,2.9
4757,My Johnny Was a Shoemaker,Steeleye Span,Folk,Traditional,1970,6,11,3.25
4758,Fighting for Strangers,Steeleye Span,Reflective,Traditional,1976,4,1,3.875
4759,Skewball,Steeleye Span,Folk,Traditional,1971,9,4,3.5625
4760,Black Jack Davy,Steeleye Span,Pop/Rock,Traditional,1977,3,6,3.333333333333333
4761,Rockin' Around the Christmas Tree,Amy Grant,Religious,Johnny Marks,1992,20,246,3.2
4762,"Mary, Did You Know?",Gaither Vocal Band,Religious,Buddy Greene,1998,13,170,2.5
4763,I Believe in a Hill Called Mount Calvary,Gaither Vocal Band,Religious,Gloria Gaither,1997,13,8,2.25
4764,Baptism of Jesse Taylor,Gaither Vocal Band,Religious,Dallas Frazier,1999,10,12,2.5
4765,Daystar (Shine Down on Me),Gaither Vocal Band,Religious,Steve Richardson,1988,5,3,1.5
4766,Kutche,Safy Boutella ,International,Traditional,1989,3,0,3.0
4767,Chebba,Cheb Khaled,International,Safy Boutella,1998,2,4,2.25
4768,La Camel,Cheb Khaled,International,Safy Boutella,1997,2,2,2.7683596924826177
4769,Baroud,Safy Boutella ,International,Safy Boutella,2003,1,0,2.7683596924826177
4770,Sidi Boumediene,Cheb Khaled,International,Cheb Khaled,1994,3,0,2.5
4771,"Ellens Gesang III (""Ave Maria""), song for voice & piano, D. 839 (Op. 52/6)",Leontyne Price,Classical,Franz Schubert,1990,4,120,2.333333333333333
4772,"Ave Maria, for voice & piano (after Bach's Prelude No. 1 from the Well-Tempered Clavier, Book 1)",Leontyne Price,Classical,Franz Schubert,1999,3,40,2.5
4773,"Cantique de Noël for voice & orchestra ""O Holy Night""",Leontyne Price,Classical,Adolphe Adam,1998,2,61,2.75
4774,Ave Maria,Leontyne Price,Sentimental,Franz Schubert,2000,3,707,1.5
4775,O Tannenbaum (O Christmas Tree) (German),Leontyne Price,Classical,Traditional,1990,2,55,2.5
4776,Hark! the Herald Angels Sing (adapted by W. H. Cummings from Mendelssohn's Festgesang for the Gutenberg Festival),Leontyne Price,Classical,Felix Mendelssohn,1990,2,104,2.5
4777,Angels we have heard on high,Herbert von Karajan ,Joyous,Traditional,1961,2,690,2.7683596924826177
4778,Needle of Death,Bert Jansch,Folk,Bert Jansch,1965,23,9,3.40625
4779,Strolling Down the Highway,Bert Jansch,Pop/Rock,Bert Jansch,1965,10,4,3.583333333333333
4780,Poison,Bert Jansch,Pop/Rock,Bert Jansch,1969,10,2,3.625
4781,First Time Ever I Saw Your Face,Bert Jansch,Pop/Rock,Ewan MacColl,1966,11,202,3.5
4782,It Don't Bother Me,Bert Jansch,Pop/Rock,Bert Jansch,1965,9,4,3.5
4783,Blackwater Side,Bert Jansch,Folk,Traditional,1975,11,35,3.388888888888889
4784,Woman Like You,Bert Jansch,Pop/Rock,Bert Jansch,1969,8,2,3.625
4785,Courting Blues,Bert Jansch,Pop/Rock,Bert Jansch,1965,7,3,3.75
4786,Blues Run the Game,Bert Jansch,Pop/Rock,Jackson C. Frank,1975,4,19,3.333333333333333
4787,I Am Lonely,Bert Jansch,Pop/Rock,Bert Jansch,1969,6,3,3.875
4788,Woe is Love My Dear,Bert Jansch,Pop/Rock,Bert Jansch,1967,7,2,3.5
4789,As the Day Grows Longer Now,Bert Jansch,Folk,Bert Jansch,1965,6,0,3.25
4790,After the Dance,Bert Jansch ,Pop/Rock,Bert Jansch,1966,11,2,3.0
4791,Nottamun Town,Bert Jansch,Folk,Traditional,1966,6,11,3.25
4792,Goodbye Pork Pie Hat,Bert Jansch ,Pop/Rock,Charles Mingus,1966,7,146,3.25
4793,You Can't Hurry Love,Supremes,R&B,Lamont Dozier,1966,221,64,3.128571428571429
4794,Baby Love,Supremes,R&B,Lamont Dozier,1965,162,47,2.8840579710144927
4795,Stop! In the Name of Love,Supremes,Pop/Rock,Lamont Dozier,1965,125,57,2.9913793103448274
4796,Where Did Our Love Go,Supremes,Pop/Rock,Lamont Dozier,1965,97,46,3.2127659574468086
4797,My Favorite Things,Supremes,Earnest,Richard Rodgers,2002,91,81,2.7683596924826177
4798,You Keep Me Hangin' On,Supremes,R&B,Lamont Dozier,1966,70,75,3.027027027027027
4799,Come See About Me,Supremes,Pop/Rock,Lamont Dozier,1965,51,48,3.32
4800,Back in My Arms Again,Supremes,R&B,Lamont Dozier,1965,41,20,3.5
4801,I Hear a Symphony,Supremes,Pop/Rock,Lamont Dozier,1965,45,28,3.32
4802,Stoned Love,Supremes,R&B,Yennik Samoht,1970,39,6,2.706896551724138
4803,My World Is Empty Without You,Supremes,Romantic,Lamont Dozier,1966,33,35,3.289473684210526
4804,Nathan Jones,Supremes,R&B,Leonard Caston,1971,29,4,2.619047619047619
4805,Up the Ladder to the Roof,Supremes,R&B,Vincent DiMirco,1970,28,7,3.1818181818181817
4806,Happening,Supremes,R&B,Frank DeVol,1967,24,13,3.333333333333333
4807,Love Is Like an Itching in My Heart,Supremes,R&B,Lamont Dozier,1966,20,11,3.46875
4808,Love Is Here and Now You're Gone,Supremes,R&B,Lamont Dozier,1967,26,12,3.323529411764706
4809,Adios Nonino,Astor Piazzolla,International,Astor Piazzolla,1969,54,136,2.892857142857143
4810,Libertango,Astor Piazzolla,International,Astor Piazzolla,1994,53,153,2.727272727272727
4811,Milonga del Angel,Astor Piazzolla,International,Astor Piazzolla,1987,22,70,3.1875
4812,Verano Porteno,Astor Piazzolla,International,Astor Piazzolla,1987,23,52,2.857142857142857
4813,Tres minutos con la realidad,Astor Piazzolla,International,Astor Piazzolla,1993,17,6,2.9166666666666665
4814,Quejas de Bandoneon,Astor Piazzolla,International,Juan de Dios Filiberto,1994,23,33,2.5
4815,"Adiós Nonino, tango",Astor Piazzolla,International,Astor Piazzolla,1969,11,26,3.5
4816,Tanguedia III,Astor Piazzolla,International,Astor Piazzolla,1990,14,5,3.25
4817,Prepárense,Astor Piazzolla,International,Astor Piazzolla,1996,20,18,2.7683596924826177
4818,Lunfardo,Astor Piazzolla,International,Astor Piazzolla,1986,11,6,3.0
4819,Muerte del Angel,Astor Piazzolla,International,Astor Piazzolla,1962,14,37,3.0
4820,Mumuki,Astor Piazzolla,International,Astor Piazzolla,1987,9,9,3.75
4821,"Milonga del ángel, tango (from Ángel series)",Astor Piazzolla,Classical,Astor Piazzolla,1993,10,14,3.375
4822,Michelangelo '70,Astor Piazzolla,International,Astor Piazzolla,1969,10,20,3.4
4823,Biyuya,Astor Piazzolla,International,Astor Piazzolla,1986,13,5,2.833333333333333
4824,I Love You,Barney,Children's,Traditional,1993,6,4,3.25
4825,Listen to the Night Time,Barney,Children's,David Bernard Wolf,1995,2,0,3.5
4826,Pop Goes the Weasel,Barney,Children's,Traditional,1994,2,97,3.5
4827,I Love You/Hale-Bopp Boogie,Barney,Happy,Traditional,1999,1,0,2.0
4828,I Love You (This Old Man),Barney,Happy,Traditional,2000,1,0,3.5
4829,Barney Theme Song (Yankee Doodle),Barney,Children's,Traditional,2000,1,0,3.5
4830,Birdhouse in Your Soul,They Might Be Giants,Pop/Rock,John Flansburgh,1990,21,1,2.7777777777777777
4831,Ana Ng,They Might Be Giants,Pop/Rock,They Might Be Giants,1988,9,1,3.375
4832,Boss of Me,They Might Be Giants,Pop/Rock,They Might Be Giants,2000,4,0,2.625
4833,We're the Replacements,They Might Be Giants,Pop/Rock,They Might Be Giants,1987,8,0,3.1875
4834,(She Was A) Hotel Detective,They Might Be Giants,Pop/Rock,They Might Be Giants,1988,6,0,3.25
4835,Don't Let's Start,They Might Be Giants,Pop/Rock,They Might Be Giants,1987,6,1,3.4166666666666665
4836,Statue Got Me High,They Might Be Giants,Pop/Rock,John Flansburgh,1992,1,0,3.5
4837,They'll Need a Crane,They Might Be Giants,Pop/Rock,They Might Be Giants,1988,6,0,3.75
4838,Nightgown of the Sullen Moon,They Might Be Giants,Pop/Rock,They Might Be Giants,1989,6,0,3.25
4839,Purple Toupee,They Might Be Giants,Pop/Rock,They Might Be Giants,1988,5,0,3.7
4840,Why Does the Sun Shine? (The Sun Is a Mass of Incandescent Gas),They Might Be Giants,Pop/Rock,Lou Singer,1993,3,0,2.6666666666666665
4841,Doctor Worm,They Might Be Giants,Pop/Rock,They Might Be Giants,1998,4,0,3.333333333333333
4842,Experimental Film,They Might Be Giants,Children's,They Might Be Giants,2004,4,0,2.75
4843,Particle Man,They Might Be Giants,Pop/Rock,John Flansburgh,1990,3,1,3.5
4844,Put Your Hand Inside the Puppet Head,They Might Be Giants,Pop/Rock,John Flansburgh,1986,4,0,3.875
4845,It's Not My Birthday,They Might Be Giants,Pop/Rock,They Might Be Giants,1989,4,0,2.875
4846,"Hey, Mr. DJ, I Thought You Said We Had a Deal",They Might Be Giants,Pop/Rock,They Might Be Giants,1991,4,0,3.125
4847,Santa's Beard,They Might Be Giants,Pop/Rock,They Might Be Giants,1988,4,0,2.875
4848,James K. Polk,They Might Be Giants,Pop/Rock,Matthew Hill,1990,4,0,2.875
4849,They Got Lost,They Might Be Giants,Pop/Rock,They Might Be Giants,1998,3,0,2.6666666666666665
4850,She's an Angel,They Might Be Giants,Pop/Rock,They Might Be Giants,1997,4,1,3.5
4851,Pink Panther Theme,Henry Mancini,Easy Listening,Henry Mancini,1964,47,69,3.25
4852,Moon River,Henry Mancini,Classical,Henry Mancini,1964,41,601,2.8043478260869565
4853,Days of Wine and Roses,Henry Mancini,Easy Listening,Henry Mancini,1963,26,389,3.0
4854,Baby Elephant Walk,Henry Mancini,Easy Listening,Henry Mancini,1962,21,53,3.090909090909091
4855,Peter Gunn,Henry Mancini,Jazz,Henry Mancini,1959,30,113,3.125
4856,Mr. Lucky,Henry Mancini,Easy Listening,Henry Mancini,1959,25,61,3.235294117647059
4857,"Love Theme from ""Romeo and Juliet""",Henry Mancini,Easy Listening,Nino Rota,1970,22,25,3.0
4858,Dear Heart,Henry Mancini,Easy Listening,Ray Evans,1965,15,55,3.0
4859,Charade,Henry Mancini,Easy Listening,Henry Mancini,1972,14,166,3.071428571428572
4860,"Theme from ""Love Story"" (Where Do I Begin)",Henry Mancini,Easy Listening,Francis Lai,1970,11,3,2.4
4861,Sweetheart Tree,Henry Mancini,Easy Listening,Henry Mancini,1965,13,15,3.388888888888889
4862,Shot in the Dark,Henry Mancini,Jazz,Henry Mancini,1966,14,28,3.1666666666666665
4863,Two For the Road,Henry Mancini,Easy Listening,Leslie Bricusse,1967,13,94,2.875
4864,Breakfast at Tiffany's,Henry Mancini,Easy Listening,Henry Mancini,1966,10,15,3.1666666666666665
4865,Experiment in Terror,Henry Mancini,Easy Listening,Henry Mancini,1959,13,20,3.4
4866,Dreamsville,Henry Mancini,Easy Listening,Ray Evans,1959,9,55,2.857142857142857
4867,"Theme from ""Hatari!""",Henry Mancini,Easy Listening,Henry Mancini,1962,8,8,2.7
4868,Peter Gunn Theme,Henry Mancini,Jazz,Henry Mancini,1993,6,29,2.833333333333333
4869,Evergreen,Henry Mancini,Easy Listening,Barbra Streisand,1977,11,103,2.5
4870,Shadow of Your Smile,Henry Mancini,Romantic,Johnny Mandel,1967,7,418,2.5
4871,"Get up, Stand Up",Peter Tosh,Reggae,Bob Marley,1977,33,65,2.7222222222222223
4872,Johnny B. Goode,Peter Tosh,Reggae,Chuck Berry,1983,24,245,2.8
4873,Legalize It,Peter Tosh,Reggae,Peter Tosh,1976,20,9,2.8461538461538463
4874,Maga Dog,Peter Tosh,Reggae,Peter Tosh,1983,20,14,3.111111111111111
4875,(You Gotta Walk) Don't Look Back,Peter Tosh,Reggae,Smokey Robinson,1978,12,20,2.611111111111111
4876,Equal Rights,Peter Tosh,Reggae,Peter Tosh,1977,16,9,2.9642857142857144
4877,Bush Doctor,Peter Tosh,Reggae,Peter Tosh,1978,12,1,3.111111111111111
4878,Coming in Hot,Peter Tosh,Reggae,Peter Tosh,1981,9,1,2.583333333333333
4879,Stepping Razor,Peter Tosh,Reggae,Joe Higgs,1977,11,3,3.125
4880,African,Peter Tosh,Reggae,Peter Tosh,1977,11,6,3.4
4881,Glass House,Peter Tosh,Electronic,Peter Tosh,1983,7,1,2.833333333333333
4882,Pick Myself Up,Peter Tosh,Reggae,Peter Tosh,1977,11,1,2.9375
4883,Rastafari Is,Peter Tosh,Reggae,Peter Tosh,1981,6,2,2.875
4884,Arise Blackman,Peter Tosh,Reggae,Peter Tosh,1997,9,1,3.4375
4885,Mystic Man,Peter Tosh,Electronic,Peter Tosh,1979,7,1,3.2
4886,In My Song,Peter Tosh,Reggae,Peter Tosh,1987,8,0,2.5
4887,Ketchy Shuby,Peter Tosh,Reggae,Peter Tosh,1976,7,1,3.5
4888,Igziabeher (Let Jah Be Praised),Peter Tosh,Reggae,Peter Tosh,1994,6,0,3.5
4889,Brand New Second Hand,Peter Tosh,Reggae,Peter Tosh,1976,8,7,3.5
4890,No Nuclear War,Peter Tosh,Reggae,Peter Tosh,1987,7,0,2.5
4891,Mama Africa,Peter Tosh,Reggae,Peter Tosh,1983,6,7,3.25
4892,O Superman (For Massenet),Laurie Anderson,Avant-Garde,Laurie Anderson,1982,10,0,3.15
4893,Babydoll,Laurie Anderson,Rousing,Laurie Anderson,1989,2,1,3.5
4894,Sharkey's Day,Laurie Anderson,Avant-Garde,Laurie Anderson,1984,4,0,2.875
4895,Poison,Laurie Anderson,Pop/Rock,Laurie Anderson,1994,3,0,2.75
4896,Big Science,Laurie Anderson,Avant-Garde,Laurie Anderson,1982,3,0,3.5
4897,Walk the Dog,Laurie Anderson,Avant-Garde,Laurie Anderson,1982,2,1,3.5
4898,It Tango,Laurie Anderson,Avant-Garde,Laurie Anderson,1982,3,0,3.1666666666666665
4899,Excellent Birds,Laurie Anderson,Ethereal,Laurie Anderson,1984,3,0,2.6666666666666665
4900,Sharkey's Night,Laurie Anderson,Quirky,Laurie Anderson,1984,2,0,2.5
4901,Let X=X,Laurie Anderson,Avant-Garde,Laurie Anderson,1982,1,0,4.0
4902,Talk Normal,Laurie Anderson,Cynical/Sarcastic,Laurie Anderson,1985,2,0,2.25
4903,Language Is a Virus,Laurie Anderson,Avant-Garde,Laurie Anderson,1985,2,0,2.25
4904,Pieces and Parts,Laurie Anderson,Quirky,Laurie Anderson,2001,1,0,2.0
4905,"He Ain't Heavy, He's My Brother",Hollies,Pop/Rock,Bob Russell,1969,99,55,2.5961538461538463
4906,Air That I Breathe,Hollies,Pop/Rock,Albert Hammond,1973,88,28,2.650943396226415
4907,Bus Stop,Hollies,Pop/Rock,Graham Gouldman,1966,86,36,2.736842105263158
4908,Carrie Anne,Hollies,Pop/Rock,Allan Clarke,1967,64,4,2.888888888888889
4909,Long Cool Woman (In a Black Dress),Hollies,Pop/Rock,Allan Clarke,1972,63,6,2.575757575757576
