,Song,Artist,Genre,Composed,Release_year,Different albums,Covers,Rating
193,Variants on a Theme of Thelonius Monk : Variant I,Gunther Schuller,Jazz,Gunther Schuller,1961,1,1,3.5
194,Rocker,Billy Barber ,Jazz,Gerry Mulligan,1988,1,19,2.5
195,Variants on a Theme of John Lewis,Gunther Schuller,Jazz,Gunther Schuller,1961,1,0,3.5
196,'Long as You Know You're Living Yours,Keith Jarrett,Jazz,Keith Jarrett,1974,3,3,4.0
197,Star,Jan Garbarek,International,Jan Garbarek,1991,2,1,3.75
198,Folk Song,Jan Garbarek ,Folk,Traditional,1979,1,11,3.5
199,Sweet Georgia Brown,Oscar Peterson,Jazz,Ben Bernie,1952,13,661,2.7857142857142856
200,Sunday,Oscar Peterson ,Jazz,Chester Conn,1959,27,91,4.0
201,That Old Feeling,Louis Armstrong ,Jazz,Lew Brown,1957,23,280,2.8
202,I Got Rhythm,Oscar Peterson,Jazz,George Gershwin,1994,19,532,2.5454545454545454
203,Blue Moon,Oscar Peterson,Jazz,Lorenz Hart,1952,22,588,2.5357142857142856
204,Oscar's Boogie,Oscar Peterson,Jazz,Oscar Peterson,1994,16,1,2.333333333333333
205,Love for Sale,Oscar Peterson,Jazz,Cole Porter,1951,14,726,3.125
206,"Take the ""A"" Train",Oscar Peterson,Jazz,Billy Strayhorn,1960,14,641,3.388888888888889
207,Tenderly,Oscar Peterson,Jazz,Walter Gross,1952,8,503,3.3
208,Con Alma,Oscar Peterson,Jazz,Dizzy Gillespie,1959,13,196,2.4545454545454546
209,Satin Doll,Oscar Peterson,Jazz,Duke Ellington,1964,3,425,2.6666666666666665
210,My Heart Stood Still,Oscar Peterson,Jazz,Lorenz Hart,1959,13,218,3.0
211,Child Is Born,Oscar Peterson,Jazz,Thad Jones,1970,16,210,3.071428571428572
212,Crossover,EPMD,Rap,David Gamson,1992,6,0,3.1666666666666665
213,Strictly Business,EPMD,Rap,Erick Sermon,1995,15,0,2.7
214,Rampage,EPMD,Rap,Lowell Fulson,1990,2,0,2.5
215,Let the Funk Flow,EPMD,Rap,Erick Sermon,1996,4,0,2.5
216,Big Payback,EPMD,Rap,Erick Sermon,1989,4,0,2.875
217,Jane,EPMD,Rap,Erick Sermon,1989,2,0,3.25
218,Give the People,EPMD,Rap,Kenny Gamble,1990,1,0,2.5
219,Get the Bozack,EPMD,Rap,Erick Sermon,1989,2,0,3.75
220,"Can't Get Enough of Your Love, Babe",Barry White,R&B,Barry White,1974,173,14,2.869047619047619
221,"You're the First, the Last, My Everything",Barry White,R&B,Peter Sterling Radcliffe,1975,109,8,3.25
222,Just the Way You Are,Barry White,R&B,Billy Joel,1978,78,247,2.6666666666666665
223,Let the Music Play,Barry White,Electronic,Barry White,1988,81,5,2.8157894736842106
224,I'm Gonna Love You Just a Little More Baby,Barry White,R&B,Barry White,1973,61,14,3.096774193548387
225,It's Ecstasy When You Lay Down Next to Me,Barry White,R&B,Ekundayo Paris,1977,44,1,3.055555555555556
226,You See the Trouble with Me,Barry White,R&B,"Ray Parker, Jr.",1976,43,1,2.933333333333333
227,"Never, Never Gonna Give You Up",Barry White,R&B,Barry White,1973,31,7,3.0789473684210527
228,"Never, Never Gonna Give Ya Up",Barry White,R&B,Barry White,1973,35,5,3.4285714285714284
229,I've Got So Much to Give,Barry White,R&B,Barry White,1973,30,3,2.894736842105264
230,What Am I Gonna Do With You,Barry White,R&B,Barry White,1975,30,1,3.0
231,"Honey Please, Can't Ya See",Barry White,R&B,Barry White,1973,25,3,3.25
232,Don't Make Me Wait Too Long,Barry White,R&B,Barry White,1976,28,0,2.958333333333333
233,I'll Do for You Anything You Want Me To,Barry White,R&B,Barry White,1975,24,1,3.0
234,Oh What a Night for Dancing,Barry White,R&B,Barry White,1977,17,1,3.055555555555556
235,Your Sweetness Is My Weakness,Barry White,R&B,Barry White,1978,16,1,3.5416666666666665
236,I'm Qualified to Satisfy You,Barry White,R&B,Barry White,1976,19,0,3.0416666666666665
237,Bridge over Troubled Water,Simon & Garfunkel,Pop/Rock,Paul Simon,1970,35,368,3.3125
238,Mrs. Robinson,Simon & Garfunkel,Pop/Rock,Paul Simon,1968,33,103,3.6
239,Sound of Silence,Simon & Garfunkel,Pop/Rock,Paul Simon,1964,36,162,3.2916666666666665
240,Homeward Bound,Simon & Garfunkel,Pop/Rock,Paul Simon,1966,22,68,3.5625
241,Boxer,Simon & Garfunkel,Pop/Rock,Paul Simon,1969,23,58,3.526315789473684
242,America,Simon & Garfunkel,Pop/Rock,Paul Simon,1972,21,42,3.588235294117647
243,I Am a Rock,Simon & Garfunkel,Pop/Rock,Paul Simon,1966,18,26,3.6538461538461537
244,Cecilia,Simon & Garfunkel,Folk,Paul Simon,1970,17,57,3.6666666666666665
245,At the Zoo,Simon & Garfunkel,Pop/Rock,Paul Simon,1967,14,1,3.7916666666666665
246,59th Street Bridge Song (Feelin' Groovy),Simon & Garfunkel,Pop/Rock,Paul Simon,1967,15,49,3.8
247,"For Emily, Whenever I May Find Her",Simon & Garfunkel,Pop/Rock,Paul Simon,1966,14,7,3.730769230769231
248,Hazy Shade of Winter,Simon & Garfunkel,Pop/Rock,Paul Simon,1966,14,18,3.909090909090909
249,Dangling Conversation,Simon & Garfunkel,Folk,Paul Simon,1966,10,4,3.85
250,Scarborough Fair/Canticle,Simon & Garfunkel,Pop/Rock,Art Garfunkel,1966,13,25,3.590909090909091
